Year,Yield Tons/Acre
1980,8.57
1981,6.73
1982,9.83
1983,7.63
1984,6.99
1985,7.63
1986,7.11
1987,7.03
1988,8.41
1989,8.40
1990,8.11
1991,7.82
1992,8.47
1993,8.21
1994,7.84
1995,8.05
1996,7.16
1997,9.17
1998,7.12
1999,7.02
2000,8.54
2001,7.45
2002,8.17
2003,7.16
2004,7.03
2005,8.70
2006,7.18
2007,7.90
2008,8.33
2009,8.31
2010,8.55
2011,8.39
2012,8.77
