StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
01,00,189806,3.86,80.4,-5.43,-5.43,-1.82,-5.43,446,0,-.1,-1.42,-1.07,-1.96,-2.08,-2.11,-2.12,68.1,92.7
01,00,189807,6.05,80,-4.99,-4.99,-.36,-4.99,458,0,.51,.21,-.92,-1.66,-1.76,-1.93,-2.02,69.6,90.5
01,00,189808,7.2,78.8,.85,-3.63,2.55,-2.61,421,0,1.6,1.32,.94,-.63,-1.1,-1.84,-1.66,69.2,88.4
01,00,189809,3.46,75.3,.61,-3.41,-.47,-2.54,299,3,-.02,1.05,1.02,-.16,-1.2,-1.48,-1.51,65.1,85.4
01,00,189810,3.84,61,.92,-2.68,1.14,-1.36,37,181,.65,.35,1.1,.11,-.9,-1.19,-1.44,49.6,72.3
01,00,189811,5.99,49.8,1.61,-1.62,2.35,.51,1,477,1.08,1.05,.78,1.21,-.06,-.6,-1.29,38.7,61
01,00,189812,3.85,43.4,1.21,-1.69,-.71,.11,1,693,-.54,.38,.56,1.03,.17,-.81,-1.3,32.5,54.3
01,00,189901,6.18,43.8,1.44,-1.15,1.08,.9,5,689,.67,.02,.57,1.09,.42,-.46,-1.01,33.1,54.4
01,00,189902,6.4,40.1,1.79,1.79,1.47,1.79,0,731,.68,.9,.33,.81,1.19,.08,-1.03,28.7,51.4
01,00,189903,6.31,55.7,-.03,1.58,-.08,1.46,24,341,.22,.51,.7,.82,1.2,.49,-1.42,43.5,67.8
01,00,189904,2.45,61.7,-.65,.78,-1.89,-.31,32,148,-1.05,-.51,-.13,.23,.71,.25,-1.55,50.8,72.6
01,00,189905,2.03,76.1,-1.62,-1.62,-3.1,-1.62,331,3,-1.23,-1.75,-1.02,-.51,-.05,.36,-1.51,63.6,88.6
01,00,189906,2.91,79.9,-2.25,-2.25,-2.38,-2.25,437,0,-.76,-1.36,-1.76,-.54,-.2,.19,-1.34,67.6,92.3
01,00,189907,6.73,80.4,-1.95,-1.95,.19,-1.8,467,0,.83,.12,-.63,-.5,-.15,.28,-1.17,68.9,91.9
