StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
9,0,198305,2.51,69.6,-0.39,1.8,-1.17,1.23,126,50,-0.59,0.24,0.75,1.14,0.93,0.83,0.47,57.3,82
9,0,198306,4.74,74.7,-0.04,1.92,0.93,1.69,242,5,0.27,-0.3,0.28,0.82,1.08,0.81,0.56,63.7,85.7
9,0,198307,2.77,81,-1.06,0.7,-3.07,-0.88,458,0,-2.66,-1.08,-1.21,0.29,0.71,0.34,0.45,69.2,92.9
9,0,198308,3.25,81.2,-1.94,-1.94,-2.96,-1.94,465,0,-1.1,-2.44,-1.65,-0.29,0.36,0.3,0.22,69.3,93
9,0,198309,4.78,72,0.28,-1.46,0.85,-0.99,170,17,0.61,-0.28,-1.41,-0.6,0.13,0.49,0.51,61,83
9,0,198310,1.88,64.9,-0.37,-1.68,-1.11,-1.66,57,137,-0.44,0.06,-0.56,-1.39,-0.04,0.41,0.4,53.5,76.4
9,0,198311,6.42,53.6,1.14,1.14,3.41,1.14,4,410,1.75,1.01,1.05,-0.07,0.38,0.79,0.83,40.7,66.5
9,0,198312,7.45,44.2,2.3,2.3,3.86,2.3,1,742,1.67,2.14,1.57,0.61,0.58,0.96,1.04,33.5,54.8
9,0,198401,4.87,42.9,2.36,2.36,0.88,2.36,2,770,0.43,1.4,1.97,1.18,0.41,1,1,32.1,53.7
9,0,198402,4.55,49.6,2.13,2.13,0.04,2.09,3,510,0.04,0.25,1.22,1.43,0.63,0.87,0.87,36.6,62.6
9,0,198403,6.3,54.7,2.29,2.29,1.13,2.29,12,417,0.64,0.49,0.54,1.45,0.74,0.73,1.23,41.5,67.9
9,0,198404,4.67,61.3,2.36,2.36,0.92,2.36,16,208,0.56,0.74,0.62,1.72,1.25,0.64,1.1,49.4,73.2
9,0,198405,5.23,69.4,2.73,2.73,1.84,2.73,120,57,1.01,0.98,1.03,1.43,1.72,0.98,1.33,56.8,82.1
9,0,198406,2.96,77.2,2.05,2.05,-1.21,1.48,329,0,-1.09,0.1,0.33,0.55,1.36,0.74,1.13,64.6,89.7
9,0,198407,8.26,77.6,2.91,2.91,3.21,2.91,342,0,1.48,0.54,0.9,0.96,1.88,1.49,1.4,67.5,87.6
9,0,198408,3.72,78.2,-0.12,2.49,-0.35,2.28,359,0,-0.73,0.67,0.07,0.77,1.18,1.5,1.34,67.9,88.5
9,0,198409,1.45,72.2,-0.71,1.63,-1.82,0.61,171,18,-1.56,-1.95,-0.28,0.02,0.33,1.08,1.14,59.9,84.6
9,0,198410,1.92,69.6,-1.16,0.94,-1.55,-0.69,139,52,-0.41,-1.37,-1.85,-0.34,0.09,1.11,1.04,57.4,81.8
9,0,198411,2.28,52.1,-1.26,0.63,-0.66,-1.17,2,458,-0.21,-0.46,-1.25,-1,0.02,0.56,0.87,38.9,65.4
9,0,198412,1.79,55.1,-2.13,-2.13,-3,-2.13,18,398,-1.51,-1.18,-1.19,-1.14,-0.63,-0.22,0.58,42.8,67.5
9,0,198501,3.14,40.1,-2.32,-2.32,-1.24,-2.32,1,871,-0.55,-1.32,-1.21,-2.25,-1.05,-0.48,0.36,28.3,51.9
9,0,198502,5.04,48.4,-1.86,-1.86,0.67,-1.5,3,558,0.31,-0.24,-0.88,-1.54,-1.31,-0.41,0.27,36.7,60
9,0,198503,1.79,58.3,-2.78,-2.78,-3.35,-2.78,28,306,-1.57,-0.9,-1.06,-1.47,-1.49,-1.08,-0.21,45.4,71.3
9,0,198504,2,64.1,-3.21,-3.21,-2.13,-3.21,40,121,-0.99,-1.76,-1.2,-1.61,-2.29,-1.49,-0.59,50.5,77.8
9,0,198505,3.93,70.9,-2.88,-2.88,0,-2.82,152,38,0.33,-0.56,-1.31,-1.36,-1.72,-1.61,-0.45,58.8,83
9,0,198506,3.92,77.8,-2.72,-2.72,-0.43,-2.72,327,0,-0.28,-0.04,-0.67,-1.13,-1.46,-1.48,-0.54,66,89.6
9,0,198507,6.61,78.5,0.41,-2.03,1.22,-1.46,371,0,0.74,0.28,0.28,-0.71,-1.21,-1.74,-0.17,68.1,88.8
9,0,198508,6.3,77.9,1.06,-1.13,2.08,0.34,347,0,0.86,0.99,0.66,-0.57,-0.89,-1.38,0.14,68.1,87.5
9,0,198509,1.28,72.9,0.26,-1.71,-2.08,-1.07,188,15,-1.75,-0.5,0.01,-0.48,-0.97,-1.36,-0.21,61.5,84.3
9,0,198510,4.77,69,0.76,-1.01,1.58,0.25,117,72,1.16,-0.18,0.34,0.44,-0.47,-0.98,0.09,59.7,78.2
9,0,198511,5.21,63.2,1.24,1.24,1.69,1.24,52,165,1.3,1.47,0.59,0.88,-0.15,-0.56,-0.08,53.8,72.6
9,0,198512,3.09,44,-0.1,1.01,-0.31,0.74,1,742,-0.5,0.56,0.97,0.75,0.23,-0.36,-0.4,31.9,56.1
9,0,198601,2.33,44.5,-0.68,-0.68,-1.76,-0.68,4,727,-1.09,-1.1,-0.12,0.13,0.19,-0.48,-0.71,32.3,56.8
