YEAR,DECJAN,JANFEB,FEBMAR,MARAPR,APRMAY,MAYJUN,JUNJUL,JULAUG,AUGSEP,SEPOCT,OCTNOV,NOVDEC
1969,.664,.844,.452,.623,.706,.816,.462,.182,.165,.508,.67,.392
1970,.367,.411,.215,-.023,-.142,-.674,-1.086,-1.027,-1.258,-1.091,-1.078,-1.224
1971,-1.221,-1.521,-1.807,-1.888,-1.432,-1.441,-1.217,-1.235,-1.465,-1.424,-1.33,-.998
1972,-.595,-.422,-.262,-.196,.5,1.106,1.826,1.827,1.547,1.651,1.747,1.761
1973,1.72,1.497,.845,.481,-.141,-.803,-1.085,-1.356,-1.729,-1.671,-1.496,-1.844
1974,-1.934,-1.793,-1.76,-1.673,-1.051,-.649,-.758,-.657,-.624,-1.053,-1.243,-.906
1975,-.544,-.597,-.884,-.963,-.867,-1.14,-1.51,-1.745,-1.877,-1.986,-1.771,-1.752
1976,-1.613,-1.394,-1.246,-1.184,-.463,.331,.624,.658,1.029,.938,.49,.547
1977,.516,.271,.131,.539,.305,.444,.865,.695,.801,.993,.97,.86
1978,.77,.893,.936,.191,-.394,-.585,-.44,-.192,-.386,-.024,.178,.392
1979,.598,.361,-.015,.283,.374,.397,.372,.636,.779,.666,.744,.996
1980,.678,.589,.69,.907,.95,.891,.759,.328,.279,.209,.252,.098
1981,-.254,-.163,.457,.669,.14,-.03,-.046,-.085,.178,.108,-.036,-.137
1982,-.268,-.138,.106,-.009,.432,.965,1.614,1.817,1.808,2.019,2.433,2.418
1983,2.691,2.909,3.011,2.824,2.537,2.201,1.767,1.155,.481,.034,-.131,-.176
1984,-.327,-.533,.143,.347,.106,-.081,-.086,-.159,-.101,.009,-.344,-.596
1985,-.559,-.594,-.718,-.481,-.718,-.098,-.143,-.354,-.513,-.135,-.057,-.299
1986,-.307,-.196,.04,-.11,.35,.313,.387,.804,1.122,.98,.865,1.183
1987,1.243,1.192,1.719,1.866,2.14,1.954,1.855,1.982,1.888,1.643,1.271,1.284
1988,1.116,.697,.487,.353,.081,-.649,-1.12,-1.319,-1.499,-1.315,-1.44,-1.306
1989,-1.128,-1.271,-1.037,-.795,-.44,-.239,-.439,-.483,-.277,-.314,-.045,.127
1990,.232,.555,.945,.442,.638,.491,.133,.14,.384,.28,.39,.357
1991,.32,.313,.405,.463,.747,1.118,1.024,1.022,.759,1.024,1.2,1.325
1992,1.749,1.864,1.993,2.275,2.148,1.762,1.022,.573,.52,.664,.589,.64
1993,.686,.979,.99,1.409,1.994,1.556,1.168,1.032,.987,1.063,.839,.595
1994,.349,.197,.174,.465,.557,.808,.889,.769,.903,1.419,1.29,1.229
1995,1.216,.961,.879,.466,.523,.489,.191,-.164,-.413,-.471,-.453,-.546
1996,-.63,-.581,-.227,-.42,-.13,.053,-.197,-.377,-.443,-.349,-.13,-.325
1997,-.489,-.595,-.222,.535,1.17,2.339,2.826,3.038,3.049,2.417,2.575,2.368
1998,2.503,2.792,2.768,2.685,2.164,1.239,.346,-.36,-.587,-.795,-1.099,-.941
1999,-1.094,-1.176,-1.019,-.982,-.66,-.365,-.486,-.767,-.974,-.977,-1.042,-1.192
2000,-1.164,-1.207,-1.112,-.479,.16,-.04,-.169,-.141,-.219,-.372,-.712,-.551
2001,-.502,-.669,-.571,-.091,.221,.032,.292,.366,-.108,-.266,-.159,.028
2002,-.032,-.176,-.137,.401,.843,.948,.684,.949,.859,.976,1.076,1.141
2003,1.199,.937,.831,.365,.088,.089,.165,.267,.459,.519,.536,.349
2004,.322,.356,-.056,.285,.518,.283,.527,.665,.531,.497,.815,.665
2005,.31,.81,1.055,.642,.801,.519,.508,.329,.288,-.149,-.376,-.576
2006,-.435,-.411,-.533,-.621,-.004,.592,.669,.76,.825,.934,1.322,.998
2007,1.012,.542,.112,.015,.226,-.221,-.246,-.409,-1.092,-1.103,-1.119,-1.129
2008,-.968,-1.355,-1.583,-.874,-.352,.16,.073,-.24,-.561,-.72,-.502,-.608
2009,-.711,-.677,-.678,-.109,.366,.894,1.001,.991,.805,1.038,1.088,1.041
2010,1.152,1.521,1.427,.95,.62,-.269,-1.073,-1.777,-1.954,-1.896,-1.523,-1.529
2011,-1.645,-1.53,-1.511,-1.392,-.273,-.048,-.05,-.44,-.713,-.939,-.886,-.912
2012,-.995,-.665,-.377,.127,.739,.936,1.168,.581,.328,.139,.21,.081
2013,.069,-.119,-.128,.069,.116,-.181,-.373,-.528,-.095,.135,-.027,-.255
2014,-.287,-.241,.032,.248,.967,.997,.923,.938,.602,.411,.772,.611
2015,.419,.468,.67,.97,1.567,2.06,1.972,2.367,2.527,2.225,2.308,2.123
2016,2.202,2.121,1.96,2.07
