herbicide
"2,4-d, 2-ehe"
"2,4-d, dimeth. salt"
acetochlor
carfentrazone-ethyl
clethodim
cyanazine
"dicamba, dimet. salt"
diuron
"flumiclorac-pentyl"
flumioxazin
fluometuron
"glufosinate-ammonium"
glyphosate
"glyphosate amm. salt"
"glyphosate iso. salt"
"glyphosate pot. salt"
metolachlor
pendimethalin
prometryn
propazine
"pyraflufen-ethyl"
"pyrithiobac-sodium"
"s-metolachlor"
"trifloxysulfuron-sod"
"trifluralin"
