insecticide
abamectin
acephate
acetamiprid
aldicarb
"beta-cyfluthrin"
bifenthrin
cyfluthrin
cypermethrin
deltamethrin
dicrotophos
diflubenzuron
dimethoate
endosulfan
etoxazole
flonicamid
flubendiamide
imidacloprid
"lambda-cyhalothrin"
malathion
methomyl
novaluron
oxamyl
permethrin
"petroleum distillate"
profenofos
spinosad
spiromesifen
thiamethoxam
"zeta-cypermethrin"
