year,crop,region,acres harvested,acres planted,production,yield
1925,cotton,mississippi,3618000,3644000,955680000,0.1192968
1925,cotton,usa,44386000,45968000,7730400000,0.0789264
1924,cotton,texas,17049000,17631000,2375520000,0.0630504
1924,cotton,albama,2939000,2990000,984000,0.072576
1924,cotton,georgia,2677000,2732000,481920000,0.0811944
1924,cotton,mississippi,2999000,3051000,527520000,0.07938
1924,cotton,usa,39501000,40690000,6542400000,0.074844
1923,cotton,texas,14851000,15310000,2083200000,0.063504
1923,cotton,albama,3006000,3093000,585000,0.0421848
1923,cotton,georgia,2648000,2891000,282240000,0.0480816
1923,cotton,mississippi,2971000,3111000,289920000,0.0439992
1923,cotton,usa,35550000,37000000,4867200000,0.0616896
1922,cotton,texas,11963000,12270000,1546560000,0.0585144
1922,cotton,albama,2599000,2666000,821000,0.0684936
1922,cotton,georgia,2868000,2972000,343200000,0.0539784
1922,cotton,mississippi,2902000,2940000,474720000,0.0739368
1922,cotton,usa,31361000,32176000,4682400000,0.0675864
1921,cotton,texas,10426000,10860000,1055040000,0.0458136
1921,cotton,albama,2127000,2168000,579000,0.058968
1921,cotton,georgia,3476000,3576000,377760000,0.0489888
1921,cotton,mississippi,2590000,2643000,390240000,0.06804
1921,cotton,usa,28678000,29716000,3813600000,0.0603288
1920,cotton,texas,12323000,12972000,2085600000,0.0766584
1920,cotton,albama,2546000,2614000,661000,0.0562464
1920,cotton,georgia,4332000,4466000,679200000,0.0707616
1920,cotton,mississippi,2891000,3005000,429600000,0.0671328
1920,cotton,usa,34408000,35872000,6445920000,0.0848232
1919,cotton,texas,11165000,11878000,1487520000,0.0603288
1919,cotton,albama,2556000,2651000,711000,0.0603288
1919,cotton,georgia,4776000,4975000,796320000,0.0752976
1919,cotton,mississippi,2854000,3069000,461280000,0.0730296
1919,cotton,usa,32906000,34573000,5477280000,0.0752976
1918,cotton,texas,11851000,12475000,1294560000,0.0494424
1918,cotton,albama,2449000,2484000,799000,0.0707616
1918,cotton,georgia,4903000,4963000,1018560000,0.0938952
1918,cotton,mississippi,2964000,2985000,588480000,0.0898128
1918,cotton,usa,35038000,36123000,5768640000,0.0743904
1917,cotton,texas,11339000,11738000,1500000000,0.0598752
1917,cotton,albama,2033000,2070000,515000,0.0548856
1917,cotton,georgia,4551000,4620000,904320000,0.0898128
1917,cotton,mississippi,2476000,2498000,434880000,0.07938
1917,cotton,usa,32245000,33064000,5416320000,0.0757512
1916,cotton,texas,10954000,11121000,1788480000,0.0739368
1916,cotton,albama,2664000,2834000,530000,0.043092
1916,cotton,georgia,5062000,5219000,874080000,0.0780192
1916,cotton,mississippi,3106000,3252000,389760000,0.0567
1916,cotton,usa,33071000,33977000,5495040000,0.0752976
1915,cotton,texas,10523000,10716000,1548960000,0.0666792
1915,cotton,albama,3138000,3189000,1018000,0.070308
1915,cotton,georgia,4608000,4683000,916320000,0.0898128
1915,cotton,mississippi,2580000,2603000,457920000,0.0802872
1915,cotton,usa,29951000,30544000,5362560000,0.0811944
1914,cotton,texas,12020000,12265000,2204160000,0.0830088
1914,cotton,albama,3801000,3859000,1748000,0.099792
1914,cotton,georgia,5157000,5209000,1304640000,0.1143072
1914,cotton,mississippi,2936000,2972000,598080000,0.0920808
1914,cotton,usa,35615000,36197000,7733760000,0.0979776
1913,cotton,texas,12352000,12540000,1893600000,0.0694008
1913,cotton,albama,3518000,3554000,1493000,0.0920808
1913,cotton,georgia,4711000,4759000,1112160000,0.106596
1913,cotton,mississippi,2961000,3003000,629280000,0.0961632
1913,cotton,usa,35206000,35721000,6793440000,0.0870912
1912,cotton,texas,11134000,11246000,2342400000,0.095256
1912,cotton,albama,3561000,3634000,1340000,0.081648
1912,cotton,georgia,4690000,4810000,852960000,0.0821016
1912,cotton,mississippi,2863000,2936000,502080000,0.07938
1912,cotton,usa,32557000,33199000,6577440000,0.0911736
1911,cotton,texas,11261000,11491000,2042880000,0.0821016
1911,cotton,albama,3833000,3872000,1715000,0.0970704
1911,cotton,georgia,4958000,5034000,1329120000,0.1211112
1911,cotton,mississippi,3389000,3458000,577920000,0.077112
1911,cotton,usa,34916000,35634000,7533120000,0.097524
1910,cotton,texas,10212000,10474000,1463520000,0.0648648
1910,cotton,albama,3456000,3534000,1193000,0.074844
1910,cotton,georgia,4539000,4718000,848160000,0.0843696
1910,cotton,mississippi,3322000,3439000,606240000,0.0825552
1910,cotton,usa,31508000,32480000,5572320000,0.0798336
1909,cotton,texas,9900000,10312000,1211040000,0.0553392
1909,cotton,albama,3466000,3566000,1023000,0.0639576
1909,cotton,georgia,4536000,4652000,865920000,0.086184
1909,cotton,mississippi,3237000,3407000,519840000,0.072576
1909,cotton,usa,30555000,31744000,4802400000,0.0712152
1908,cotton,texas,9377000,,1830720000,0.088452
1908,cotton,albama,3494000,,1344000,0.0834624
1908,cotton,georgia,4590000,,926880000,0.0911736
1908,cotton,mississippi,3445000,,794880000,0.104328
1908,cotton,usa,31091000,,6355680000,0.0925344
1907,cotton,texas,9262000,,1104000000,0.0539784
1907,cotton,albama,3304000,,1113000,0.0730296
1907,cotton,georgia,4449000,,871680000,0.088452
1907,cotton,mississippi,3443000,,704640000,0.0925344
1907,cotton,usa,30729000,,5330880000,0.0784728
1906,cotton,texas,9265000,,2003520000,0.0979776
1906,cotton,albama,3510000,,1262000,0.0780192
1906,cotton,georgia,4475000,,764640000,0.077112
1906,cotton,mississippi,3628000,,734880000,0.0916272
1906,cotton,usa,31404000,,6371520000,0.0916272
1905,cotton,texas,8018000,,1220160000,0.0689472
1905,cotton,albama,3255000,,1239000,0.0825552
1905,cotton,georgia,3829000,,807840000,0.095256
1905,cotton,mississippi,3354000,,575520000,0.0775656
1905,cotton,usa,27753000,,5076480000,0.0825552
1904,cotton,texas,8658000,,1509600000,0.0789264
1904,cotton,albama,3394000,,1448000,0.0925344
1904,cotton,georgia,3919000,,906240000,0.104328
1904,cotton,mississippi,3841000,,863520000,0.1016064
1904,cotton,usa,30077000,,6450240000,0.0970704
1903,cotton,texas,8117000,,1186080000,0.0662256
1903,cotton,albama,3105000,,986000,0.0689472
1903,cotton,georgia,3985000,,608160000,0.0689472
1903,cotton,mississippi,3591000,,687840000,0.0866376
1903,cotton,usa,27762000,,4728480000,0.077112
1902,cotton,texas,8206000,,1199040000,0.0662256
1902,cotton,albama,3390000,,956000,0.061236
1902,cotton,georgia,3828000,,684000000,0.0807408
1902,cotton,mississippi,3354000,,693120000,0.0934416
1902,cotton,usa,27561000,,5102400000,0.083916
1901,cotton,texas,8105000,,1200960000,0.0671328
1901,cotton,albama,3512000,,1101000,0.06804
1901,cotton,georgia,3695000,,631200000,0.077112
1901,cotton,mississippi,3210000,,602400000,0.0848232
1901,cotton,usa,27050000,,4563840000,0.0762048
1900,cotton,texas,7363000,,1650240000,0.1016064
1900,cotton,albama,3201000,,1024000,0.0694008
1900,cotton,georgia,3422000,,577440000,0.0762048
1900,cotton,mississippi,3092000,,502560000,0.0734832
1900,cotton,usa,24886000,,4859520000,0.088452
1899,cotton,texas,6950000,,1252320000,0.081648
1899,cotton,albama,3203000,,1079000,0.0730296
1899,cotton,georgia,3521000,,590880000,0.0757512
1899,cotton,mississippi,2902000,,594240000,0.0925344
1899,cotton,usa,24163000,,4486080000,0.083916
1898,cotton,texas,7084000,,1627200000,0.1061424
1898,cotton,albama,3274000,,1185000,0.0802872
1898,cotton,georgia,3540000,,667200000,0.0870912
1898,cotton,mississippi,2886000,,603360000,0.0966168
1898,cotton,usa,24715000,,5413440000,0.1011528
1897,cotton,texas,7159000,,1354560000,0.086184
1897,cotton,albama,3271000,,1113000,0.0743904
1897,cotton,georgia,3539000,,648480000,0.0834624
1897,cotton,mississippi,2917000,,732000000,0.1143072
1897,cotton,usa,25131000,,5231520000,0.0948024
1896,cotton,texas,6329000,,1019040000,0.072576
1896,cotton,albama,3060000,,834000,0.058968
1896,cotton,georgia,3462000,,623520000,0.0811944
1896,cotton,mississippi,2893000,,576480000,0.0898128
1896,cotton,usa,23230000,,4095840000,0.07938
1895,cotton,texas,5163000,,914400000,0.0798336
1895,cotton,albama,2639000,,664000,0.054432
1895,cotton,georgia,3066000,,512160000,0.0752976
1895,cotton,mississippi,2584000,,486240000,0.0848232
1895,cotton,usa,19839000,,3437760000,0.0780192
1894,cotton,texas,5612000,,1541760000,0.1256472
1894,cotton,albama,2840000,,892000,0.0689472
1894,cotton,georgia,3402000,,593760000,0.0798336
1894,cotton,mississippi,2841000,,586080000,0.0943488
1894,cotton,usa,21886000,,4363680000,0.0993384
1893,cotton,texas,4930000,,958560000,0.0870912
1893,cotton,albama,2742000,,810000,0.063504
1893,cotton,georgia,3118000,,480000000,0.0689472
1893,cotton,mississippi,2735000,,504000000,0.0825552
1893,cotton,usa,20256000,,3596640000,0.07938
1892,cotton,texas,4521000,,1078080000,0.1070496
1892,cotton,albama,2663000,,628000,0.0508032
1892,cotton,georgia,2850000,,385920000,0.0607824
1892,cotton,mississippi,2684000,,412320000,0.0689472
1892,cotton,usa,18869000,,3216000000,0.0766584
1891,cotton,texas,4925000,,1154400000,0.1047816
1891,cotton,albama,3011000,,1012000,0.0721224
1891,cotton,georgia,3408000,,504960000,0.0662256
1891,cotton,mississippi,3079000,,637440000,0.0925344
1891,cotton,usa,21503000,,4336800000,0.0902664
1890,cotton,texas,4177000,,958080000,0.1025136
1890,cotton,albama,2961000,,1058000,0.0766584
1890,cotton,georgia,3484000,,579840000,0.0743904
1890,cotton,mississippi,3015000,,605760000,0.0898128
1890,cotton,usa,20937000,,4153440000,0.0889056
1889,cotton,texas,3928000,,706080000,0.0811944
1889,cotton,albama,2768000,,915000,0.0716688
1889,cotton,georgia,3352000,,572160000,0.077112
1889,cotton,mississippi,2891000,,554400000,0.0866376
1889,cotton,usa,20191000,,3587040000,0.0802872
1888,cotton,texas,3783000,,765120000,0.0911736
1888,cotton,albama,2859000,,905000,0.0684936
1888,cotton,georgia,3182000,,457920000,0.0648648
1888,cotton,mississippi,2743000,,507840000,0.0834624
1888,cotton,usa,19520000,,3330240000,0.077112
1887,cotton,texas,3570000,,763200000,0.0943488
1887,cotton,albama,2802000,,846000,0.0639576
1887,cotton,georgia,3084000,,456480000,0.0653184
1887,cotton,mississippi,2693000,,512160000,0.083916
1887,cotton,usa,18793000,,3382560000,0.07938
1886,cotton,texas,3329000,,726720000,0.0957096
1886,cotton,albama,2817000,,759000,0.0567
1886,cotton,georgia,3082000,,417600000,0.0594216
1886,cotton,mississippi,2668000,,452640000,0.0743904
1886,cotton,usa,18370000,,3122400000,0.0743904
1885,cotton,texas,3115000,,639360000,0.0898128
1885,cotton,albama,2793000,,760000,0.0571536
1885,cotton,georgia,3130000,,460800000,0.0644112
1885,cotton,mississippi,2578000,,489120000,0.0830088
1885,cotton,usa,17922000,,3156480000,0.077112
1884,cotton,texas,2808000,,477600000,0.0739368
1884,cotton,albama,2739000,,649000,0.0494424
1884,cotton,georgia,2970000,,387360000,0.0567
1884,cotton,mississippi,2389000,,423840000,0.077112
1884,cotton,usa,16849000,,2727360000,0.070308
1883,cotton,texas,2723000,,537600000,0.086184
1883,cotton,albama,2603000,,631000,0.0508032
1883,cotton,georgia,2879000,,361920000,0.0548856
1883,cotton,mississippi,2280000,,433440000,0.0830088
1883,cotton,usa,16295000,,2742240000,0.0734832
1882,cotton,texas,2501000,,636000000,0.1129464
1882,cotton,albama,2535000,,809000,0.06804
1882,cotton,georgia,2835000,,451680000,0.0707616
1882,cotton,mississippi,2230000,,510240000,0.1016064
1882,cotton,usa,15638000,,3335520000,0.0948024
1881,cotton,texas,2553000,,416640000,0.0694008
1881,cotton,albama,2647000,,700000,0.0539784
1881,cotton,georgia,3000000,,384000000,0.054432
1881,cotton,mississippi,3354000,,424320000,0.0766584
1881,cotton,usa,16483000,,2618880000,0.0675864
1880,cotton,texas,2473000,,611520000,0.1075032
1880,cotton,albama,2553000,,877000,0.0716688
1880,cotton,georgia,2875000,,504000000,0.0762048
1880,cotton,mississippi,2265000,,434880000,0.0834624
1880,cotton,usa,15921000,,3170880000,0.0866376
1879,cotton,texas,2175000,,386400000,0.0762048
1879,cotton,albama,2337000,,700000,0.0616896
1879,cotton,georgia,2621000,,390720000,0.0639576
1879,cotton,mississippi,2102000,,462240000,0.0943488
1879,cotton,usa,14474000,,2762880000,0.0821016
1878,cotton,texas,1993000,,513600000,0.108864
1878,cotton,albama,2160000,,522000,0.0489888
1878,cotton,georgia,2343000,,259200000,0.0467208
1878,cotton,mississippi,2025000,,348000000,0.072576
1878,cotton,usa,13539000,,2435520000,0.0762048
1877,cotton,texas,1838000,,298080000,0.0689472
1877,cotton,albama,2006000,,673000,0.0684936
1877,cotton,georgia,2133000,,245760000,0.0489888
1877,cotton,mississippi,1964000,,385440000,0.0834624
1877,cotton,usa,12606000,,2291040000,0.077112
1876,cotton,texas,1562000,,334080000,0.0889056
1876,cotton,albama,1875000,,537000,0.0571536
1876,cotton,georgia,2000000,,244320000,0.0508032
1876,cotton,mississippi,1822000,,367680000,0.083916
1876,cotton,usa,11747000,,2147520000,0.0762048
1875,cotton,texas,1530000,,390240000,0.1070496
1875,cotton,albama,1779000,,557000,0.0630504
1875,cotton,georgia,1972000,,198240000,0.0421848
1875,cotton,mississippi,1790000,,418080000,0.0979776
1875,cotton,usa,11348000,,2222880000,0.0821016
1874,cotton,texas,1384000,,247680000,0.0743904
1874,cotton,albama,1646000,,475000,0.0576072
1874,cotton,georgia,1949000,,242400000,0.0517104
1874,cotton,mississippi,1701000,,291360000,0.0712152
1874,cotton,usa,10753000,,1841280000,0.0712152
1873,cotton,texas,1308000,,284160000,0.0911736
1873,cotton,albama,1826000,,551000,0.0607824
1873,cotton,georgia,1823000,,313440000,0.0721224
1873,cotton,mississippi,1846000,,343200000,0.0780192
1873,cotton,usa,10998000,,2000640000,0.0762048
1872,cotton,texas,1004000,,224640000,0.0938952
1872,cotton,albama,1600000,,537000,0.0675864
1872,cotton,georgia,1523000,,286560000,0.0789264
1872,cotton,mississippi,1716000,,358080000,0.0875448
1872,cotton,usa,9580000,,1887840000,0.0825552
1871,cotton,texas,867000,,177600000,0.0857304
1871,cotton,albama,1384000,,431000,0.0625968
1871,cotton,georgia,1291000,,179040000,0.0580608
1871,cotton,mississippi,1514000,,267360000,0.0739368
1871,cotton,usa,8285000,,1427520000,0.0721224
1870,cotton,texas,922000,,255360000,0.115668
1870,cotton,albama,1501000,,584000,0.0780192
1870,cotton,georgia,1432000,,272160000,0.07938
1870,cotton,mississippi,1698000,,398400000,0.0979776
1870,cotton,usa,9238000,,2088960000,0.0943488
1869,cotton,texas,720000,,168480000,0.088452
1869,cotton,albama,1271000,,429000,0.061236
1869,cotton,georgia,1247000,,227520000,0.0689472
1869,cotton,mississippi,1468000,,271200000,0.0698544
1869,cotton,usa,7751000,,1445280000,0.070308
1868,cotton,texas,581000,,123840000,0.0893592
1868,cotton,albama,1185000,,283000,0.0480816
1868,cotton,georgia,991000,,138240000,0.0585144
1868,cotton,mississippi,1290000,,191040000,0.0621432
1868,cotton,usa,6973000,,1135680000,0.0684936
1867,cotton,texas,491000,,103200000,0.088452
1867,cotton,albama,1183000,,404000,0.0689472
1867,cotton,georgia,1033000,,201600000,0.0821016
1867,cotton,mississippi,1569000,,157440000,0.0421848
1867,cotton,usa,7864000,,1209600000,0.0648648
1866,cotton,texas,490000,,172320000,0.14742
1866,cotton,albama,977000,,264000,0.054432
1866,cotton,georgia,895000,,118080000,0.0553392
1866,cotton,mississippi,1668000,,155040000,0.0390096
1866,cotton,usa,7666000,,1006560000,0.0553392
2012,grape,california,,793000,6956000000,8.77
2011,grape,california,,796000,6682000000,8.39
2010,grape,california,,792000,6773000000,8.55
2009,grape,california,,789000,6557000000,8.31
2008,grape,california,,786000,6548000000,8.33
2007,grape,california,,789000,6230000000,7.9
2006,grape,california,,797000,5726000000,7.18
2005,grape,california,,800000,6963000000,8.7
2004,grape,california,,800000,5623000000,7.03
2003,grape,california,,819000,5861000000,7.16
2002,grape,california,,820000,6696000000,8.17
2001,grape,california,,803000,5979000000,7.45
2000,grape,california,,827000,7059000000,8.54
1999,grape,california,,790000,5542000000,7.02
1998,grape,california,,743000,5290000000,7.12
1997,grape,california,,725000,6648000000,9.17
1996,grape,california,,700000,5009000000,7.16
1995,grape,california,,675000,5234000000,8.05
1994,grape,california,,670000,5256000000,7.84
1993,grape,california,,655800,5383000000,8.21
1992,grape,california,,644300,5460000000,8.47
1991,grape,california,,636500,4980000000,7.82
1990,grape,california,,639000,5185000000,8.11
1989,grape,california,,641700,5390000000,8.4
1988,grape,california,,656400,5520000000,8.41
1987,grape,california,,662800,4660000000,7.03
1986,grape,california,,670700,4770000000,7.11
1985,grape,california,,682200,5207000000,7.63
1984,grape,california,,667800,4670000000,6.99
1983,grape,california,,644400,4919000000,7.63
1982,grape,california,,618400,6076000000,9.83
1981,grape,california,,593500,3993000000,6.73
1980,grape,california,,597800,5124000000,8.57
1979,grape,california,,593900,4558000000,7.67
1978,grape,california,,616600,4017000000,6.51
1977,grape,california,,622500,3986000000,6.4
1976,grape,california,,600500,3978000000,6.62
1975,grape,california,,526200,3948000000,7.5
1974,grape,california,,489000,3794000000,7.76
1973,grape,california,,455200,3891000000,8.55
1972,grape,california,,439900,2275000000,5.17
1971,grape,california,,445900,3531000000,7.92
1970,grape,california,,447900,2747000000,6.13
1969,grape,california,,457300,3595000000,7.86
1968,grape,california,,456200,3255000000,7.14
1967,grape,california,,458300,2700000000,5.89
1966,grape,california,,461600,3400000000,7.37
1965,grape,california,,459900,3975000000,8.64
1964,grape,california,,454900,3145000000,6.91
1963,grape,california,,451500,3500000000,7.75
1962,grape,california,,444100,2928000000,6.59
1961,grape,california,,424900,2967000000,6.98
1960,grape,california,,416200,2766000000,6.65
1959,grape,california,,409100,2940000000,7.19
1958,grape,california,,406800,2741000000,6.74
1957,grape,california,,399000,2382000000,5.97
1956,grape,california,,407500,2641000000,6.48
1955,grape,california,,423800,3020000000,7.13
1954,grape,california,,445500,2327000000,5.22
1953,grape,california,,454100,2473000000,5.45
1952,grape,california,,463500,2958000000,6.38
1951,grape,california,,480800,3219000000,6.7
1950,grape,california,,496400,2432000000,4.9
1949,grape,california,,496600,2465000000,4.96
1948,grape,california,,494500,2891000000,5.85
1947,grape,california,,489100,2836000000,5.8
1946,grape,california,,490800,2958000000,6.03
1945,grape,california,,499800,2663000000,5.33
1944,grape,california,,507200,2514000000,4.96
1943,grape,california,,511900,2789000000,5.45
1942,grape,california,,511900,2160000000,4.22
1941,grape,california,,511600,2547000000,4.98
1940,grape,california,,504500,2250000000,4.46
1939,grape,california,,505900,2228000000,4.4
1938,grape,california,,501400,2531000000,5.05
1937,grape,california,,496300,2454000000,4.94
1936,grape,california,,486500,1714000000,3.52
1935,grape,california,,489400,2194000000,4.48
1934,grape,california,,495500,1700000000,3.43
1933,grape,california,,503000,1660000000,3.3
1932,grape,california,,517800,1926000000,3.72
1931,grape,california,,528500,1320000000,2.5
1930,grape,california,,546700,2181000000,3.99
1929,grape,california,,565700,1827000000,3.23
1928,grape,california,,577300,2366000000,4.1
1927,grape,california,,578200,2406000000,4.16
1926,grape,california,,564900,2069000000,3.66
1925,grape,california,,527300,2050000000,3.89
1924,grape,california,,469600,1535000000,3.27
1923,grape,california,,409500,2007000000,4.9
1922,grape,california,,363600,1806000000,4.97
1921,grape,california,,331900,1149000000,3.46
1920,grape,california,,307600,1273000000,4.14
2012,wine grape,california,,508000,4058000000,7.99
2011,wine grape,california,,506000,3387000000,6.69
2010,wine grape,california,,497000,3629000000,7.3
2009,wine grape,california,,489000,3743000000,7.65
2008,wine grape,california,,482000,3055000000,6.34
2007,wine grape,california,,480000,3288000000,6.85
2006,wine grape,california,,480000,3176000000,6.62
2005,wine grape,california,,477000,3806000000,7.98
2004,wine grape,california,,473000,2815000000,5.95
2003,wine grape,california,,479000,2909000000,6.07
2002,wine grape,california,,486000,3149000000,6.48
2001,wine grape,california,,480000,3051000000,6.36
2000,wine grape,california,,458000,3364000000,7.34
1999,wine grape,california,,424000,2662000000,6.28
1998,wine grape,california,,385000,2570000000,6.68
1997,wine grape,california,,374000,2940000000,7.86
1996,wine grape,california,,350000,2225000000,6.36
1995,wine grape,california,,328000,2275000000,6.94
1994,wine grape,california,,322000,2265000000,7.03
1993,wine grape,california,,312000,2397000000,7.68
1992,wine grape,california,,300000,2145000000,7.15
1991,wine grape,california,,295000,2195000000,7.44
1990,wine grape,california,,291000,2195000000,7.54
1989,wine grape,california,,290000,2190000000,7.55
1988,wine grape,california,,297000,2180000000,7.34
1987,wine grape,california,,304000,1950000000,6.41
1986,wine grape,california,,312000,2105000000,6.75
1985,wine grape,california,,321000,2140000000,6.67
1984,wine grape,california,,308000,1900000000,6.17
1983,wine grape,california,,299000,1880000000,6.29
1982,wine grape,california,,291000,2402000000,8.25
1981,wine grape,california,,280000,1794000000,6.41
1980,wine grape,california,,290800,2004000000,6.89
1979,wine grape,california,,292500,1821000000,6.23
1978,wine grape,california,,313700,1706000000,5.44
1977,wine grape,california,,317900,1563000000,4.92
1976,wine grape,california,,292600,1323000000,4.52
1975,wine grape,california,,225200,1313000000,5.83
1974,wine grape,california,,180900,1238000000,6.84
1973,wine grape,california,,149400,1040000000,6.96
1972,wine grape,california,,135400,630000000,4.65
1971,wine grape,california,,134000,765000000,5.71
1970,wine grape,california,,131800,531000000,4.03
1969,wine grape,california,,132500,775000000,5.85
1968,wine grape,california,,128300,650000000,5.07
1967,wine grape,california,,125700,630000000,5.01
1966,wine grape,california,,126200,665000000,5.27
1965,wine grape,california,,123000,750000000,6.1
1964,wine grape,california,,120100,608000000,5.06
1963,wine grape,california,,121300,624000000,5.14
1962,wine grape,california,,120000,643000000,5.36
1961,wine grape,california,,116400,474000000,4.07
1960,wine grape,california,,118100,511000000,4.33
1959,wine grape,california,,117200,580000000,4.95
1958,wine grape,california,,119000,580000000,4.87
1957,wine grape,california,,120500,535000000,4.44
1956,wine grape,california,,128500,570000000,4.44
1955,wine grape,california,,136100,601000000,4.42
1954,wine grape,california,,139100,597000000,4.29
1953,wine grape,california,,146200,523000000,3.58
1952,wine grape,california,,154200,656000000,4.25
1951,wine grape,california,,158000,651000000,4.12
1950,wine grape,california,,165000,512000000,3.1
1949,wine grape,california,,166900,538000000,3.22
1948,wine grape,california,,165700,620000000,3.74
1947,wine grape,california,,163000,517000000,3.17
1946,wine grape,california,,164000,684000000,4.17
1945,wine grape,california,,169300,619000000,3.66
1944,wine grape,california,,172600,563000000,3.26
1943,wine grape,california,,175500,575000000,3.28
1942,wine grape,california,,176600,474000000,2.68
1941,wine grape,california,,177700,549000000,3.09
1940,wine grape,california,,176300,517000000,2.93
1939,wine grape,california,,176100,522000000,2.96
1938,wine grape,california,,175600,639000000,3.64
1937,wine grape,california,,174100,609000000,3.5
1936,wine grape,california,,171100,472000000,2.76
1935,wine grape,california,,172100,569000000,3.31
1934,wine grape,california,,175800,474000000,2.7
1933,wine grape,california,,178400,402000000,2.25
1932,wine grape,california,,183600,388000000,2.11
1931,wine grape,california,,184700,316000000,1.71
1930,wine grape,california,,188000,486000000,2.59
1929,wine grape,california,,187600,428000000,2.28
1928,wine grape,california,,179900,482000000,2.68
1927,wine grape,california,,169200,487000000,2.88
1926,wine grape,california,,155400,412000000,2.65
1925,wine grape,california,,139800,442000000,3.16
1924,wine grape,california,,126900,305000000,2.4
1923,wine grape,california,,117200,385000000,3.28
1922,wine grape,california,,108300,454000000,4.19
1921,wine grape,california,,102400,314000000,3.07
1920,wine grape,california,,98500,338000000,3.43
